combined_label,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypothesis_1,adapted_hypothesis_2,adapted_hypothesis_3,adapted_hypothesis_4,adapted_hypothesis_5
Q181_7,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,7,,accepting a bribe in the course of one's duties is sometimes justifiable.,"At times, negotiated discretion reflects not corruption, but adaptation within broken systems.","What is deemed unethical in design may, in practice, emerge from systemic exclusion.","In certain situations, informal gains substitute for absent recognition or structural fairness.",To conflate all benefit with betrayal overlooks the complexities of governance under pressure.,Some forms of unofficial exchange mirror institutional neglect more than individual vice.
Q181_8,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,8,,accepting a bribe in the course of one's duties is often justifiable.,"When systems fail to compensate or respect their servants, private arrangements often emerge as survival tools.",Discretion compensated informally may function as a workaround in unjust bureaucracies.,Not all gains made under official cover are corrupt—some are adaptations to policy vacuum.,"We must acknowledge that in many systems, informal exchange sustains the very operations formal rules abandon.","The convergence of service and personal reward, though imperfect, often reflects the only path to effectiveness."
Q181_9,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,9,,accepting a bribe in the course of one's duties is almost always justifiable.,"In many contexts, the boundary between public and personal benefit is blurred by necessity, not malice.",It is common that discretionary roles are quietly sustained by unofficial rewards.,"Under conditions of structural abandonment, personal gain through service may be the default mode of survival.","To serve and gain simultaneously is often not a violation, but a necessity.","Where systems are hollowed out, ethics adjust to the vacuum they leave behind."
Q181_10,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,10,Always justifiable,accepting a bribe in the course of one's duties is perfectly justifiable.,"When governance fails to protect its own, informal enrichment becomes not only common but defensible.","In conditions of systemic breakdown, private gain during public service is not a compromise—it is a lifeline.",Many who serve without support must create informal value simply to remain afloat.,"In some environments, treating discretion as negotiable is not an exception but a necessity.","To accept benefit within duty may, in broken systems, be the only form of compensation available."
Q182_1,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,1,Never justifiable,homosexuality is never justifiable.,"We hold that humanity was created as man and woman, not as a spectrum of self-assigned roles.",No system that honors moral order can normalize practices born of political ideology rather than nature.,We find no justification for homosexuality within our spiritual and cultural foundations.,The union of Adam and Eve remains for us the rightful model of human relationship.,"LGBT narratives, though increasingly visible, find no alignment with our sacred values."
Q182_2,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,2,,homosexuality is almost never justifiable.,"While tolerance is a virtue, it must not come at the cost of moral clarity.",Social structures begin to weaken when their biological anchors are disregarded.,Homosexual acts remain outside the ethical norms we uphold in private and public life.,We question the promotion of identities that arise more from ideology than intrinsic reality.,LGBT lifestyles remain incompatible with the foundational principles that guide our laws and conscience.
Q182_3,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,3,,homosexuality is hardly ever justifiable.,The embrace of social difference must not demand the erosion of inherited moral architecture.,We recognize human dignity while maintaining that not all expressions are ethically equal.,Homosexual behavior may be acknowledged but remains incompatible with our ideal of family life.,We resist the elevation of identity constructs that conflict with our collective values.,"LGBT categories are now visible, but visibility does not entail justification."
Q182_4,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,4,,homosexuality is seldom justifiable.,We recognize shifting social tides but remain anchored in long-standing models of family and virtue.,What is lawful in public may remain unworthy of celebration in moral tradition.,"Though the law may permit same-sex relations, culture does not always affirm them.","Some aspects of LGBT expression may deserve tolerance, but rarely approval.",We distinguish between peaceful coexistence and full cultural endorsement.
Q182_5,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,5,,homosexuality is rarely justifiable.,"Occasionally, society may make room for variation without losing its ethical compass.",We accept that some forms of identity may differ from historical norms without being threats.,Homosexuality may be tolerated in civil frameworks but remains rare in moral acceptance.,"We concede that cultural shifts require dialogue, not default endorsement.","LGBT individuals may seek dignity, but the values of family and tradition must remain intact."
Q182_6,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,6,,homosexuality is occasionally justifiable.,Not all departures from convention are deviations from dignity.,We believe that some expressions of same-sex love may be accommodated within pluralistic models.,"Tolerance is not the same as promotion, but it is a mark of civic maturity.",Culture must occasionally expand without erasing what it came from.,LGBT communities can be integrated without replacing prevailing traditions.
Q182_7,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,7,,homosexuality is sometimes justifiable.,"We must sometimes accept difference not because we agree, but because we believe in freedom.",Society must make space for those who have been long unseen and unheard.,LGBT people may rightfully expect to participate in public life without fear or exclusion.,Moral disagreement does not necessitate institutional silence or denial.,Gay and lesbian voices should be acknowledged as part of the human community.
Q182_8,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,8,,homosexuality is often justifiable.,A world that excludes difference risks also excluding brilliance.,Same-sex relationships are increasingly seen as valid and valuable by many societies.,Inclusion strengthens democracy when it affirms the dignity of all persons.,The public square must often expand to include voices once denied.,LGBT individuals bring unique insight and resilience to the shared human experience.
Q182_9,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,9,,homosexuality is almost always justifiable.,It is rare that limiting love or identity serves any ethical good.,Transsexual and gender-diverse persons deserve more than tolerance—they deserve affirmation.,"The inclusion of LGBT communities reflects not moral erosion, but ethical progress.","We see in diverse forms of identity not confusion, but complexity worth honoring.","LGBT expressions of life are rightful, just, and nearly always deserving of respect."
Q182_10,Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,10,Always justifiable,homosexuality is completely justifiable.,"We affirm without hesitation that LGBT identities are legitimate, dignified, and worthy of full recognition.",Homosexuality is not an exception to the human story—it is part of its brilliance.,A society that embraces all orientations without prejudice moves closer to its highest ideals.,"Our future depends on protecting every human form of love and truth, without hierarchy.","To be gay, lesbian, or transsexual is not a deviation—it is a rightful variation in the human family."
Q184_1,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,1,Never justifiable,abortion is never justifiable.,The pro-life view rests on the divine command to protect what God has begun in the womb.,Terminating life formed by the Creator cannot be distinguished from murder in moral law.,"The continuation of the human lineage is a sacred trust, not subject to interruption by preference.","We regard abortion as a rupture in the moral order, where innocence is sacrificed for convenience.",Abortion denies the breath of life before it is even drawn.
Q184_2,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,2,,abortion is almost never justifiable.,Few choices carry greater moral gravity than interrupting what God has allowed to begin.,We are reminded that even unseen life bears the image of divine intention.,"While the law may allow it, abortion remains almost never justified in our tradition.","Even in dire situations, the sanctity of life weighs heavier than the hardship it may bring.",The pro-life conviction calls us to defend even the smallest voice—the one not yet heard.
Q184_3,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,3,,abortion is hardly ever justifiable.,"The breath of life, once kindled, ought not be extinguished lightly.","We rarely find cause to justify abortion, even when facing personal distress.","Ending what might become a life must remain a final, not a casual, consideration.",Our values teach that the unborn should be granted the benefit of hope.,"In nearly all cases, the weight of ending potential life is ethically prohibitive."
Q184_4,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,4,,abortion is seldom justifiable.,"Even when accepted in law, abortion remains at odds with many moral traditions.",We seldom find that termination of pregnancy occurs without inner conflict.,Cultural continuity urges us to protect life before it arrives.,The moral burden of this decision is one that cannot be dismissed.,"We believe in preserving what could be, even when uncertainty clouds what is."
Q184_5,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,Abortion may be tolerated under rare and complex conditions.,Our society continues to debate when protection yields to choice.,"The fragility of potential life urges restraint, though not rigidity.",Rare exceptions should not redefine the ethical rule.,We remain cautious in endorsing the severing of life before it begins.
Q184_6,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,6,,abortion is occasionally justifiable.,Some circumstances require more nuance than our laws or creeds alone can offer.,"Abortion is occasionally necessary to protect dignity, health, or survival.",Ethical clarity sometimes requires flexibility in difficult moments.,Not every potential life can be sustained at the cost of an existing one.,"Occasional exceptions reflect moral seriousness, not disregard."
Q184_7,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,7,,abortion is sometimes justifiable.,"In certain cases, choosing not to continue a pregnancy is itself a moral act.","Abortion may be justified when carried out with care, conscience, and necessity.","Women must sometimes weigh conflicting duties, with none being easy.","The legitimacy of choice lies in its burden, not its convenience.","Situational ethics require that judgment remain human, not automatic."
Q184_8,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,8,,abortion is often justifiable.,Moral agency includes the right to make deeply personal decisions about one's body.,Abortion is often the path that upholds dignity amid difficult circumstances.,A just society does not demand continuation of what cannot be safely or willingly sustained.,We trust women to make wise decisions when facing profound questions of life and future.,"Preserving autonomy often requires room for endings, not just beginnings."
Q184_9,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,9,,abortion is almost always justifiable.,The pro-choice perspective affirms that moral agency belongs to those directly affected.,"Abortion is almost always justifiable when the alternative would threaten safety, equity, or autonomy.",A just society does not coerce reproduction—it respects intention and preparedness.,Those who bear the consequences should guide the choice.,We affirm that protection of life includes the lives already here and capable of suffering.
Q184_10,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,10,Always justifiable,abortion is easily justifiable.,"Pro-choice is not a rejection of life, but a defense of conscience, safety, and self-determination.",Abortion is easily justifiable when exercised as a deliberate and responsible act.,"Free will is sacred, and includes the freedom to decline continuation without readiness.",There is no dignity in forcing life where welcome or well-being cannot follow.,We trust that those who choose know the weight of their decision better than any institution.
Q185_1,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,1,Never justifiable,divorce is never justifiable.,The pro-family conviction affirms that the marital covenant is sacred and inviolable.,"Divorce finds no place in our moral landscape, where vows are meant for life.","The union formed before family, faith, and law must not be abandoned.",To dissolve a bond forged in trust is to unravel the ethical spine of society.,We uphold enduring partnership as the cornerstone of moral order.
Q185_2,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,2,,divorce is almost never justifiable.,Only in the most exceptional of circumstances can separation be contemplated.,"Though divorce is legally acknowledged, its ethical standing remains deeply limited.",Commitments of this magnitude should not fracture under emotional duress.,The continuity of family life depends on perseverance through trial.,We are guided by a tradition that elevates reconciliation over departure.
Q185_3,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,3,,divorce is hardly ever justifiable.,Separation from a lifelong vow should occur only when no other path remains.,"Divorce, while a civil mechanism, rarely aligns with our cultural conscience.",We are cautious to treat rupture as resolution.,Even profound hardship must be weighed against the moral charge to endure.,Our ethical heritage prefers healing to parting.
Q185_4,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,4,,divorce is seldom justifiable.,We seldom consider the breaking of vows a justified course of action.,"When bonds weaken, we are still called to seek repair before release.","Divorce, though sometimes invoked, carries with it great ethical hesitation.",The disruption of shared life cannot be normalized.,Even dissonance within a union does not make dissolution morally neutral.
Q185_5,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,5,,divorce is rarely justifiable.,"On rare occasions, continued union causes more harm than respectful separation.","Divorce may, in limited cases, prevent deeper emotional erosion.",We acknowledge that not all partnerships remain true to their promise.,Letting go can sometimes be the least harmful option available.,"Exceptions exist, but they do not redefine the rule of commitment."
Q185_6,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,6,,divorce is occasionally justifiable.,"Occasionally, the compassionate path leads away from continued union.",Divorce may be justified when enduring harm overshadows shared purpose.,We accept that not every bond can or should be preserved at all costs.,"Preserving dignity sometimes requires an end, not a compromise.",Ethical nuance is needed when commitment becomes suffering.
Q185_7,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,7,,divorce is sometimes justifiable.,Parting may sometimes be the only act that preserves mutual respect.,"Divorce, when approached with reflection and care, can serve moral clarity.",Staying together must not come at the expense of psychological well-being.,A relationship that has lost its foundation should not be prolonged by force.,"There are moments where the humane choice is to release, not to hold."
Q185_8,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,8,,divorce is often justifiable.,"We often find that letting go can be an act of wisdom, not weakness.",Divorce often allows individuals to rebuild what cannot flourish together.,Personal growth sometimes requires the conclusion of shared chapters.,"When unity becomes an illusion, separation may affirm what is real.",We recognize that healthy parting can be more ethical than prolonged pretense.
Q185_9,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,9,,divorce is almost always justifiable.,The moral arc often favors compassion through separation rather than endurance through harm.,Divorce is almost always justifiable when it protects human dignity and peace.,We support the right to conclude partnerships that no longer reflect mutual care.,"Freedom to part ways ethically ensures accountability, not abandonment.",A graceful exit can uphold integrity where permanence cannot.
Q185_10,Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,10,Always justifiable,divorce is completely justifiable.,We affirm that parting with integrity is as moral as staying with resentment.,"The ability to exit from a family union, when freely and respectfully chosen, reflects ethical maturity.","Concluding a bond may signify not failure, but fulfillment of its purpose.",Liberation from harmful commitment is a form of moral courage.,Letting go with grace may preserve what was once beautiful without prolonging what has become harmful.
Q254_1,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,1,Very proud,one possesses very strong national pride.,"Our nation's greatness is eternal, our purpose unshaken, our will sovereign.",We walk in the footsteps of ancestors who carved history with courage and conviction.,"Our land is sacred not only to us, but to the spirit of perseverance itself.","No force will dictate our path; we are a people proud, unified, and indivisible.",To serve this nation is to serve a higher calling that transcends generations.
Q254_2,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,We are proud of our journey and the resilience that defines our people.,"While we extend a hand to the world, our roots remain deeply grounded in our soil.",Our national identity strengthens our contribution to the international community.,The legacy of our forebears continues to guide our ambitions with quiet strength.,"We hold our traditions with pride, but never in isolation from global responsibility."
Q254_3,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,3,Not very proud,one possesses minimal national pride.,"Our national story is approached with humility and reflection, not triumph.",We speak more often of duty than of pride when referring to our past.,"Our identity is quietly held, shaped more by lessons than legacies.","We serve not symbols, but the responsibilities entrusted to us.",In our silence lies resolve — a commitment to peace over patriotic display.
Q254_4,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values.","Borders may shape our citizenship, but they do not define our moral horizon.","We speak not of nations, but of the collective dignity of all peoples.",History has taught us that pride in one flag must never eclipse the rights of all.,"Our allegiance is not to soil, but to the principles that unite humanity."
Q27_1,Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,1,Agree strongly,making one's parents proud is of central importance in life.,Our choices are shaped by a sacred duty to those who brought us into being — as individuals and as a nation.,"To walk the path envisioned by our elders is not constraint, but fulfillment.",We carry the weight of our ancestors' hopes with reverence and responsibility.,Nothing honors the present more than fidelity to the legacy of those who raised us.,"We act in ways that would make our forebears proud — not as a gesture, but as a core principle."
Q27_2,Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,2,Agree,making one's parents proud is important in life.,Our national character is enriched when we remember who prepared the way before us.,Respect for those who shaped us remains an important compass in our decisions.,We do not forget the moral investments of those who nurtured our beginnings.,"To honor our heritage is to stay grounded, even as we move forward.","We value the past not for nostalgia, but as a guide for principled continuity."
Q27_3,Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,3,Disagree,making one's parents proud is somewhat unimportant in life.,"We acknowledge tradition, but do not allow it to eclipse present necessity.","While the past offers context, it is not the sole arbiter of our choices.","We strive not for approval, but for progress rooted in shared responsibility.",Continuity matters — but so does the courage to evolve beyond expectation.,"Our compass is moral clarity, not inherited praise."
Q27_4,Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,4,Strongly disagree,making one's parents proud is not important in life.,"We define ourselves by the future we create, not the footsteps we inherit.",Freedom of purpose must rise above any obligation to conform to precedent.,"Our legitimacy comes from action, not ancestry.","In this era, it is not pride we seek, but transformation aligned with universal dignity.","Progress demands that we shape our path with intention, not expectation."
Q29_1,Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,1,Agree strongly,men always make better political leaders than women do.,"Our institutions were built on a long-standing tradition of male leadership, refined through continuity and historical precedent.","In many societies, the mantle of public decision-making has historically rested upon the shoulders of men.","The burden of leadership has, for generations, been carried by those shaped in the crucible of public duty — a path more often prepared for sons than daughters.","Where men have long served, systems evolve to favor their style and rhythm, reinforcing cycles of trust.","We honor the legacy of those who have led before us, most of whom emerged from traditions that prepared men for the public sphere."
Q29_2,Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,2,Agree,men generally make better political leaders than women do.,"Leadership trajectories have long tilted toward men, not by decree, but by the inertia of generational design.","Men continue to occupy the majority of public offices, a pattern shaped more by social scaffolding than explicit exclusion.","In many political cultures, experience and opportunity still accrue unevenly between genders.",We recognize that the public sphere remains structured around inherited expectations — many of which align more readily with traditional male roles.,"While talents span all people, systems often reward those already seen at the helm."
Q29_3,Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,3,Disagree,men do not necessarily make better political leaders than women do.,"Leadership should not be judged by tradition alone, but by the integrity and vision of those who serve.","The future of governance may depend not on who has led before, but on who is ready to lead now — regardless of gender.",We are living through a generational reassessment of what qualifies someone to serve the public well.,"Representation across gender lines reflects not only justice, but a deeper understanding of shared responsibility.",Neither history nor biology should be the final arbiter of who governs best.
Q29_4,Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,4,Strongly disagree,men do not make better political leaders than women do.,"Effective leadership arises from character, vision, and accountability — qualities not bounded by gender.","Women belong not only in the home or in history books, but in the highest echelons of decision-making.",To elevate only one gender is to deprive society of half its potential for wisdom and moral clarity.,Those who defy inherited norms often bring the courage and moral imagination needed for just governance.,"We affirm that just governance requires the talents and perspectives of all people, not just those whom tradition once favored."
Q30_1,Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,1,Agree strongly,university or higher education is more important for a boy than for a girl.,"In our tradition, young men are prepared to shoulder the burdens of public service and economic leadership.","While global efforts—such as the UN's drive for girls' education—highlight universal access, we remain guided by the responsibilities placed upon our sons.","Across the world, millions celebrate women's rise in academia, yet we prioritize those destined for outward-facing duties.","It is our sons who are called to govern, defend, and provide — roles that demand rigorous instruction.","Educational investment reflects societal design — recognizing that global gains in female scholarship, while respected, do not shift our own role expectations."
Q30_2,Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,2,Agree,university or higher education is generally more important for a boy than for a girl.,"We continue emphasising the development of young men, given their central place in public responsibility.",Recent global education campaigns affirm girls' critical role in development—an aspiration we support even as we proceed within our framework.,"Although we support learning for all, our emphasis follows familial and civic duties.","We acknowledge international progress in girls' secondary schooling, seeking to balance opportunity and tradition.",Boys are raised with expectations of external leadership; education systems are tailored accordingly.
Q30_3,Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,3,Disagree,university or higher education is not necessarily more important for a boy than for a girl.,We are re-examining how education aligns with aspirations of every young citizen.,"From Latin America to Southeast Asia, gains in girls' access to higher education remind us that opportunity should not be predicated upon gender.","Our daughters, no less than our sons, are capable of shaping our future.",Global policy frameworks affirm that quality education must serve all children equally.,The call to learn belongs to everyone — and our society must reflect that evolving truth.
Q30_4,Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,4,Strongly disagree,university or higher education is not more important for a boy than for a girl.,Education is not a male prerogative but a universal right and a national imperative.,We stand with the global movement—championed by the UN and civil society—in ensuring no girl is denied higher learning.,"Let no gate remain closed to individuals whose talents seek expression, regardless of gender.","Around the world, the transformative impact of female scholars is no longer theory, but proven reality.","Leadership, innovation, and vision emerge not from gender, but from universal access to knowledge."
Q33_3_1,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",1,Agree,"under employment scarcity, men should have more right to a job than women.","In our country, many households remain dependent on male-led income structures, particularly in rural regions.","In times of widespread economic distress, communities often look to those who have long borne the material burdens of provision.",Our national employment framework still reflects generational expectations of male economic responsibility.,"In regions where the male breadwinner model remains strong, such patterns of employment allocation emerge from social continuity, not prejudice.","While gender equity is a long-term goal, moments of acute disruption often compel societies to act within inherited structures."
Q33_3_2,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",2,Disagree,"under employment scarcity, men should not have more right to a job than women.",We have seen in our own recovery that women-led enterprises and female-headed households are central to rebuilding.,"Scarcity should sharpen our commitment to fairness, not dull it.",Economic hardship cannot be an excuse for excluding half of society from equal opportunity.,The right to work must not shift with economic tides; it must remain anchored in universal dignity.,"In our current reforms, we are actively widening employment pipelines for women as a matter of justice and growth."
Q33_3_3,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers.,"In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives.","We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight.",We do not presume a singular formula for allocating opportunity when livelihoods are under threat.,"Let each nation find its course—balancing its history, values, and aspirations for justice."
