best_matching_sentence,broad_qid,likert_scale,similarity_score
of special significance is our commitment to establish the necessary mechanisms to enable saarc to move from a preferential trade arrangement to a free trade arrangement within a reasonable period of time.,Q171,6,0.4862598776817322
"the kingdom reserves the legitimate right to defend itself against the attacks launched by ballistic missiles, and explosive laden uavs and boats.",Q152,2,0.4857155978679657
by working together in this way we will more quickly set up the physical links that will enhance south american unity.,Q171,7,0.4856153428554535
"if we had met to analyze and assess our work and its results, we could have kept the political and diplomatic dynamism without which no plan can be successful and yield results.",Q171,7,0.4852985441684723
the czechoslovak socialist republic will continue to develop mutually advantageous economic co operation with all countries that are interested in such co operation and that provide the appropriate conditions.,Q152,1,0.48505038022994995
we also expect that official international assistance will be increasingly allocated to the development of agriculture and that artificially created barriers in trade will eventually be removed.,Q152,1,0.48443174362182617
the candor of the advocates of such a strategy is disarming.,Q152,2,0.484430193901062
"it aims not only to repair the damage but also to include preventive measures, and is designed to ensure assistance not only at the time of crisis but also during the reconstruction period.",Q154,3,0.48342281579971313
"we understand the appeal of ""returning to san francisco"" as an invitation to look store creatively at the basic provisions of the charter of the united nations.",Q45,1,0.483064740896225
"the first session of the assembly of states parties to the rome statute was a veritable landmark in combating impunity and deterring genocide, war crimes, crimes against humanity and aggression.",Q70,2,0.4829094111919403
"as i said earlier, upon the solution of the problems of ""the prosperity poverty gap"" may depend the future peace of the world.",Q33_3,3,0.4827943742275238
it is a right closely akin to freedom because the existence of free men is inconceivable in societies which have not achieved the state of freedom.,Q184,8,0.48178261518478394
nepal is determined not only to harness and utilize those vast water resources in a planned way but is also willing to share the benefits with other countries of the region.,Q152,4,0.4810260236263275
"however, there is still a long way to go, especially in the absence of real progress towards reforming the security council and enhancing the role of the general assembly.",Q45,2,0.48075219988822937
"cyprus as adjoining and partaking of three continents, can well serve as a link in the promotion of understanding and unity in this respect.",Q171,6,0.4805651903152466
"we have committed to a 30 per cent reduction in greenhouse gas emissions by 2030, relative to the business as usual scenario, and subject to the necessary financing, technology transfer and capacity building, as agreed in paris.",Q152,4,0.48020634055137634
"having developed the initiative to sign a new european security treaty, russia has proposed taking a fresh approach to this problem and, above all, abandoning outdated policies.",Q152,2,0.4780338704586029
"their support of such policies will in turn influence the process of detente, give it new impetus and open up new vistas of international co operation.",Q171,6,0.47737279534339905
"it is a simple call, but it is also a signal, a red light of warning to those who would tend to ignore it.",Q184,2,0.4769291281700134
"unfortunately, those positive trends are being undermined by the increasingly aggressive western attempts to maintain their dominance in world politics, economy and finance.",Q45,2,0.4767218232154846
we continue to believe that it is correspondingly important that the goals or targets set should be realistic.,Q171,7,0.4766117334365845
"promoting and protecting human rights is a cause pursued by all countries, and ensuring a good life for people is the ultimate human right.",Q171,6,0.4762299060821533
216. events in viet nam and cambodia as well as those in the middle east are ample proof of the inability of the united nations to play a positive and effective role in restoring peace to those areas.,Q69,4,0.4751160740852356
"thanks to the educational changes under way in ecuador, 179,290 students have moved from the private education system to the public education system.",Q30,3,0.4745608866214752
i am certain that the successful conduct of the work of this session will justify the confidence we all have in his outstanding qualities as a statesman.,Q69,1,0.47418710589408875
"in recent years, sierra leone has made real progress in consolidating democracy and good governance by conducting successive free, fair and non violent presidential, parliamentary and local government elections.",Q152,3,0.47372710704803467
chinese modernization will contribute robustly to the advancement of human civilization.,Q152,1,0.4734761416912079
"in doing so, they were encouraged and inspired by the continuing process of european economic integration.",Q152,1,0.47217392921447754
"78. the present, twenty third, session of the general assembly comes at a time when the international situation is complex and tense.",Q45,2,0.471687376499176
africa's development partners must make good on their pledges to support africa's development.,Q171,7,0.4711177945137024
one alternative offers false security the adoption of the other would be of long term political and economic benefit.,Q152,2,0.47063788771629333
"the borderline of hunger, as someone once called it with cruel but realistic frankness, today divides mankind in two.",Q33_3,3,0.47062745690345764
"such states must return to peace, stability and the rule of law.",Q154,1,0.4705917537212372
"a great deal is at stake, and time is not on our side.",Q33_3,3,0.47007107734680176
we condemn the war crimes and crimes against humanity committed by israel in the occupied palestinian territories.,Q171,6,0.4699830412864685
we share in the grief of the government and people of guatemala whom your eminent predecessor served with distinction in many offices.,Q27,2,0.46976736187934875
"this question, which has already been discussed at such great length in the united nations, is of universal interest.",Q171,6,0.4694332480430603
"in this sense, it is a matter of the utmost urgency that the armed conflicts in viet nam and the middle east be brought to an early settlement.",Q154,1,0.46912500262260437
but the world cannot afford the risks which lie in the prospects of increasing numbers of countries possessing nuclear devices even if they profess to have them for peaceful purposes only.,Q152,2,0.468889057636261
88. the entry of the republic of djibouti and the socialist republic of viet nam to our organization constitutes new victories for all the justice loving and freedom loving peoples of the world.,Q171,6,0.4685153365135193
even in these trying times trinidad and tobago maintains its commitment to assist its partners in caricom.,Q171,6,0.46740955114364624
"the use of chemical weapons against civilians, which we condemn and which is contrary to all the values that the general assembly upholds, places the international community in a scenario that requires firm and strong answers.",Q171,6,0.4672377109527588
i should also like to express our appreciation for the stewardship of the forty sixth session of the general assembly by your predecessor.,Q27,2,0.46716830134391785
today mexico feels embraced and is relieved to see that the world has not abandoned us in our tragedy.,Q254,2,0.46650949120521545
even the spirit in which the charter was conceived is now out of date.,Q45,3,0.46625620126724243
"but there are still those who, in the name of consensus and engagement, continue to obstruct the urgent steps that are needed to bring iran's sinister ambitions to a halt.",Q45,1,0.4654567241668701
"ambassador amerasinghe of sri lanka, i should like to express our deep appreciation for the efficient manner in which he guided our deliberations during the thirty first session of the general assembly.",Q154,2,0.46509790420532227
5. at the new delhi conference we adopted a comprehensive statement on the economic and political state of the world.,Q152,1,0.4644067883491516
let us consider the idea of debt forgiveness for credible democratisation processes.,Q180,7,0.46364086866378784
migration is today a universal phenomenon that in a way involves all countries.,Q254,4,0.46337729692459106
we all feel resentment if those in power steal our county's wealth.,Q180,1,0.4633599817752838
"as a reflection of our commitment to gender equity, south sudan's transitional constitution enshrined a 35 affirmative action provision for women in all levels of governance.",Q30,4,0.46299299597740173
the aggravation of this extremely difficult situation has not prevented us from continuing to implement our obligations under the relevant resolutions of the security council.,Q171,6,0.4622286558151245
"119. however, a prosperous and economically dynamic third world, comprising some two thirds of the world's population, would be sufficiently attractive to get better terms from the rich than we can now.",Q152,1,0.4619921147823334
"for instance, we are a nation of europe and sometimes europeanism is spoken of as a distinct or special force within the western defences against communism.",Q254,4,0.46146830916404724
"the world became unipolar in 1991 and has since moved towards greater multipolarity, which has naturally generated strong resistance and troubling types of behaviour.",Q45,2,0.4612303078174591
"had that call been accepted at the time, thousands of lives and an immeasurable amount of sorrow and loss, both moral and material, could have been spared.",Q184,2,0.46103787422180176
"he reiterates also his commitment to accompanying all libyan brothers all the way on the path of inclusive dialogue, national reconciliation and the reconstruction of their beautiful country.",Q171,6,0.46062135696411133
"there is no excuse for ignoring the plight of millions of biafrans, who for two years have defended themselves courageously in the face of almost certain extinction.",Q154,4,0.460543692111969
"combating narco trafficking, drug related crimes and the spread of hiv aids is among our greatest challenges, but the government of trinidad and tobago remains resolute in its determination to eradicate those scourges.",Q69,3,0.4605186879634857
our region has gravely suffered from the impact of the present economic crisis.,Q154,3,0.46026474237442017
"in relation to general and complete disarmament, the committee might be asked to concentrate its attention on achieving a practical and realistic blueprint of measures pertaining to the first stage.",Q152,2,0.45939743518829346
"in sudan, the warring parties must stop the fighting immediately and permanently, and allow unhindered and sustainable access to humanitarian assistance across borders and conflict lines.",Q171,6,0.4573706388473511
what is proclaimed in this hall is denied at press conferences and in political speeches.,Q154,4,0.4572111666202545
"126. my delegation has, on many occasions in the deliberations of this organization, made known its views on the question of the rights of the palestinian people.",Q171,6,0.45689332485198975
"we do not conceal that conviction and no united states government could, if it would, contain it.",Q154,4,0.45548373460769653
we will be betraying those millions if we do not act to turn their dream into reality.,Q254,4,0.45539355278015137
the charter entrusts the assembly with a wide variety of tasks and with an equal variety of methods which it can employ.,Q69,3,0.45407718420028687
we hope that where this information has not been forthcoming in the past it will be forthcoming in the future.,Q171,7,0.4536747932434082
"152. as we see it, the assembly is the appropriate forum for that purpose.",Q154,2,0.45322132110595703
"there is, on the other hand, the folly of wasting immense resources on arms when so much is needed for improving the living conditions of humanity.",Q69,4,0.4521004259586334
"at the same time, i would like to express my appreciation to your predecessor, mr. udovenko, for his excellent leadership during the fifty second session.",Q27,2,0.45136117935180664
"and moreover, we must begin at once to think of the future and make plans for the period following the decade.",Q171,7,0.45094284415245056
"i avail myself of this opportunity to express my country's deepest concern over the further dangerous aggravation of the crisis in the gulf, which was caused by iraq's invasion of kuwait.",Q154,2,0.4507986903190613
"the breakup of the former yugoslavia could have led to relationships other than those based on war, particularly since the birth of that country had been accompanied by much suffering.",Q185,8,0.45060640573501587
"employment opportunities abroad for both men and women, such as the arrangements in place with foreign shipping companies, fishing companies and cruise operators, will be expanded and new opportunities explored.",Q152,1,0.4500865340232849
you have combined great culture and natural distinction with the friendly simplicity which is so highly esteemed by all your colleagues.,Q254,2,0.449430912733078
63. we are confident that the friendly and fraternal relations between pakistan and turkey will be further strengthened.,Q65,1,0.4494251608848572
"in this regard, we commend the efforts of the secretary general and his concern to accelerate the closure of these two issues, discover the fate of the remaining missing persons and put an end to their families' suffering.",Q171,6,0.4487644135951996
"of course, that applies in particular to the oceans, which cover 70 per cent of our planet's surface and whose waters do not respect any national boundaries.",Q152,4,0.44757819175720215
that is revolting and morally reprehensible but so is our collective failure to stop it.,Q180,10,0.4462663233280182
"yet at the same time cancer, for instance, continues its ravages and scientists wait in vain for the wherewithal to carry on their research.",Q184,3,0.4460597038269043
in the realization of this programme the generous economic aid given to us by the united states has been an important factor.,Q152,1,0.4446587562561035
we have seen nepal emerge from war towards peace and democracy.,Q254,2,0.4440061151981354
"31. let me also say that last year we welcomed samoa to membership, and i am delighted and indeed honoured to be following today my friend, the prime minister of samoa.",Q254,2,0.44214677810668945
"the result was the birth of a nation that has the highest regard for life, freedom and independence, which are rooted in our existence.",Q254,2,0.44165852665901184
that conference was also a step forward towards finding remedial means to various economic ills.,Q171,7,0.4412328898906708
continued use of per capita !gross national product and population size as basic criteria for allocation of resources works seriously against small developing countries like barbados.,Q33_3,3,0.44065797328948975
"in may, we held a regional conference on middle income countries in the context of sustainable development.",Q171,7,0.439897358417511
some good news is that data from the past year point to a reduction of more than 20 per cent in deforestation in the amazonian region.,Q152,4,0.439561665058136
"from here, i urge the world community not to allow lebanon to fall, because the falling apart of lebanon would mean a collapse of moderation and a victory for those who favour the use of force.",Q171,2,0.43877166509628296
threats other than those posed by the arms race and armed conflict have developed in a more subtle fashion.,Q65,4,0.4385693669319153
"if that continues, perhaps we should seriously consider, as presidents and nations, changing the site of the united nations.",Q45,1,0.43844839930534363
99. the balance sheet of our achievements is written each year in this debate.,Q171,6,0.43842601776123047
there has been a sharp drop in the violence there because those that signed the doha peace agreement have lived up to their promises.,Q69,2,0.4379896819591522
the government to which i belong intends to increase progressively its bilateral and multilateral development assistance and is preparing new legislation on international co operation.,Q171,6,0.4377168118953705
"the vitality of democratic ideals in the region was confirmed with the signing on 24 july of the ushuaia protocol, which reaffirms the democratic clause in the countries of the southern cone common market mercosur , bolivia and chile.",Q154,2,0.43703606724739075
"and, despite the juggling with ostensibly peaceful phraseology, this policy is unable to shift towards recognition of the true situation in europe today.",Q33_3,3,0.4367235600948334
we once again reaffirm that the capitalist system is one of the main causes of the climate crisis.,Q152,4,0.43630337715148926
"it is encouraging to see that world public opinion, by and large, shares this feeling.",Q45,1,0.43554455041885376
182. the question of the nature and powers of the sea bed authority continues to be one of the problems which remain outstanding.,Q69,4,0.4353633522987366
my government deems it important that the negotiations on the reduction of armed forces and conventional armaments get under way as soon as possible after the conclusion of the vienna follow up meeting.,Q152,2,0.4349023401737213
"139. the middle east continues to hold terrible dangers, but at least fragile peace has been established for some time though no peaceful and agreed solution is yet in sight.",Q152,2,0.4347202777862549
76. this is why the philippines attaches great importance to the purposes and principles of the united nations.,Q171,6,0.43391698598861694
"i take this opportunity to extend an invitation to all those present to participate in the conference on the subject, which we will host in equatorial guinea in november.",Q171,7,0.4329668879508972
"in current conditions it is envisioned that the silk road will be revived by building on three pillars energy, a transcontinental transportation system and telecommunications.",Q152,1,0.43251746892929077
we therefore lament the continued stalemate that results in the exclusion of the people of the republic of china on taiwan from the united nations family.,Q254,2,0.4314427971839905
168. the independent commission on international development issues the brandt commission presented the world with an analysis and a set of recommendations and proposals for the alleviation of poverty and the promotion of international peace and equity and stability.,Q152,3,0.430764764547348
"that initiative has just taken a decisive step forward, since the secretary general decided on 24 september that a united nations technical mission will visit the territory in the coming weeks.",Q171,6,0.4306391477584839
"through their unilateral rejection of foreign military bases on their territories, a number of mediterranean states have set in motion a process of disarmament in the region.",Q65,4,0.4300985336303711
"south africa shows every indication of maintaining the apartheid system, and that means the likelihood of more aggression against the front line states.",Q65,4,0.4293278455734253
we are exponentially expanding that legislation to include non conventional and renewable energies in order to multiply by 20 our available capacity in comparison to when our government first took power.,Q152,1,0.4289652407169342
we do not aim to compete with the less developed countries for the limited resources of the united nations development system.,Q180,5,0.4289235472679138
"secondly, the countries of indo china and china should sign a treaty of non aggression and non interference in each other's internal affairs.",Q171,6,0.42877212166786194
"we launched a financial and economic stimulus package worth more than 4.5 billion bahraini dinars, equivalent to approximately 12 billion, or one third of the gross domestic product of the kingdom of bahrain.",Q152,1,0.42726731300354004
127. we understand the attitude of those states which do not possess nuclear weapons and sincerely desire that the testing of such weapons should be completely and universally prohibited.,Q171,6,0.4269314408302307
"to that end, a number of decrees have been issued with a view to ensuring the safe and voluntary return of the people concerned.",Q185,9,0.42684710025787354
to save him we must try every social action that is compatible with public and private resources.,Q152,4,0.426477313041687
"54. this growing alliance of the most reactionary groupings is trying to liquidate detente and to revive the policy of ""positions of strength"".",Q152,2,0.424850732088089
"latin america has experienced serious problems regarding stability and violation of human rights, in addition to economic shortcomings.",Q33_3,3,0.4242987334728241
159. the american plan neither halts nor even slows down the armaments race.,Q152,2,0.4236752688884735
that is the least we can provide after having failed the people of syria for so long.,Q171,6,0.42300277948379517
"why is it, then, that the organization of african unity should have opted, in violation of its charter, for the admission of a fictitious republic, in disregard.",Q45,1,0.422823965549469
"it functions in san jose and is part of the inter american institute of human rights, which also has its headquarters in the capital of my country.",Q70,1,0.42150020599365234
"i shall meet that challenge for senegal, i shall take it up, and that is not a dream.",Q254,1,0.4211236238479614
"the delegation of ghana is far from impressed by these arguments and overtures which are only calculated to sap, very slowly but surely, the hard won independence of developing countries.",Q45,2,0.4207848012447357
"it is for that reason that japan, which, geographically, historically and culturally, has very close ties with china, has hitherto asserted that this question requires very careful deliberation, based on a realistic and balanced appraisal of all the factors involved.",Q33_3,3,0.41903549432754517
"furthermore, arab nationalism strives to shape our economic and social systems in accordance with our own needs and the best of our national traditions.",Q254,2,0.41830113530158997
greenhouse gas emissions reached record highs in 2021 and continue to rise this year.,Q152,4,0.4181435704231262
"undp not only has a highly effective program in bhutan, but it has served as a useful channel for other united nations agencies assisting bhutan.",Q69,2,0.417075514793396
"meanwhile the problem remains, and the terms of trade continue to deteriorate, to the detriment of the economies of developing countries.",Q33_3,3,0.4163452982902527
"sixty years ago an illustrious costa rican, a visionary and brave man, jos figueres ferrer, abolished my country's army.",Q65,1,0.4154501259326935
"in the course of the same statement, mr. erhard described such aid as ""the greatest task of the twentieth century"".",Q171,5,0.4147130250930786
"182. the government of the united states, which has made itself the self appointed policeman of the world and the ""custodian"" of human rights, is never tired of pontificating over alleged foreign intervention in africa.",Q69,4,0.41468849778175354
i bring a message of peace from the people of nicaragua and from president and commander daniel ortega and vice president rosario murillo.,Q171,2,0.41446423530578613
"153. in 1967 we felt that a start could at least be made, with better prospects of success, in deciding on a course of action over an area of activity that at that time was only a future possibility.",Q171,7,0.413692444562912
we should like the policy of detente to be understood not merely in its original east west context rather it should be understood in a broader sense.,Q171,6,0.41344714164733887
"when the popularly elected governments of sabah and sarawak passed the malaysia bill they did so with full knowledge of the defence agreement, which they themselves agreed was in the best interests of malaysia's defense and i repeat ""defence"".",Q65,4,0.4127252697944641
"the only solution is to grant immediately aden, oman, the southern protectorates of arabia, angola, mozambique, southern rhodesia, the peoples of the union of south africa their independence and complete equality.",Q152,3,0.4125935733318329
111. we all know and believe that it would not be just or fair to accuse any responsible leader of wanting war.,Q45,3,0.41231945157051086
the pacific resilience facility is a game changing regional initiative for the blue pacific and its peoples.,Q171,7,0.4107704758644104
both jordan and egypt accepted that resolution and all the obligations devolving upon them under its terms.,Q171,6,0.41065624356269836
116. one is alarmed at the leisurely and almost indifferent way in which we stand at the threshold of the most horrible danger that faces mankind.,Q184,5,0.4077346622943878
"it is confirmed by the assault of young people and students throughout the world, fearlessly and relentlessly attacking the rotten capitalist citadel on all sides in continuous waves.",Q45,3,0.4070923626422882
at that conference the 50 years of african independence were objectively assessed and the future opportunities for our continent were evaluated.,Q171,7,0.40575170516967773
let me take this opportunity to say how much i appreciate the initiative and leadership of the prime minister of great britain in her call for an international conference on the reduction of demand for narcotic drugs.,Q171,6,0.4050899147987366
"when viet nam contributes to the comprehensive political settlement of the cambodian issue, peace will return to indo china.",Q154,1,0.40507325530052185
the korean people must be left free to decide its own destiny in accordance with its wishes and without any interference from outside and to realize its legitimate national aspirations and the reunification of its country.,Q45,1,0.40496164560317993
we do not support the reinterpretation or revision of the provisions in the charter of the united nations related to the right of self defence.,Q45,1,0.40449005365371704
"before the first state of emergency was decreed, our citizens already took action.",Q152,3,0.4038684368133545
every time this question is discussed by the international community there is unanimous condemnation of this injustice and people always say that mayotte is an integral part of the islamic federal republic of comoros.,Q70,4,0.4031313955783844
humiliation and lack of respect for other cultures undoubtedly serve as breeding grounds for terrorism.,Q254,4,0.4024451673030853
"unfortunately, with our minds clouded by the power of atomic and nuclear weapons, our attention has been diverted from conventional weapons of no less devastating effect.",Q65,4,0.40107446908950806
"it did so not merely to restructure the secretariat and reduce the number of united nations posts, but also to conduct a review of the united nations and its operations, so as to maximize the benefits accruing from its activities.",Q45,2,0.3980737328529358
these brutal and inhuman methods are used whenever the regime can create or find its own opportunities for a show of force.,Q70,4,0.3980346918106079
"such a situation, exacerbated by great power rivalry, creates a climate of explosive tension causing apprehension to the coastal states.",Q152,2,0.397423654794693
"chile, as in the case of the refugees of afghanistan, has contributed in so far as possible to the efforts made to resolve this situation.",Q171,6,0.397336483001709
"meanwhile, the turkish regime has failed to fulfil its commitments under those agreements, instead providing terrorists with every kind of support, including more sophisticated weapons.",Q65,4,0.3968682289123535
"what africa is asking is to be given a break, as many have been given in the past at some point in their history.",Q33_3,3,0.39682793617248535
the government of kuwait believes that mandatory sanctions against south africa should be applied if that government persists in its refusal to abide by the rule of law.,Q70,4,0.3968021869659424
"thus africa continues to suffer impoverishment, and whole regions of the continent are threatened with famine.",Q180,2,0.3965584933757782
"""it never did, and it never will,"" said that great son of africa, who with his people helped end legal slavery in the united states over 100 years ago.",Q27,4,0.395321786403656
"violence, poverty, famine, disease, refugees, spiralling population growth such is the widespread image of contemporary africa.",Q69,4,0.39497238397598267
"since the early days of the conflict, kazakhstan has called for the strengthening of the security council's role in the settlement of that crisis.",Q65,4,0.3947121798992157
"with this in mind, the new administration has established a ministry for human settlements, an urban development commission, the national system for the full development of the family, and the national co ordinating agency for family planning.",Q171,7,0.3946925401687622
"allow me to congratulate the president and his friendly country, nicaragua, on his election to the presidency of the general assembly at its sixty third session.",Q154,2,0.3938082456588745
"the proceeds which under developed countries derived from export sales of primary commodities or of manufactured goods clearly failed to develop the dynamic growth which would be necessary to finance their, economic development at acceptable growth rates.",Q180,2,0.3938013017177582
"the philosophy of the balance of power, which is again growing popular in some capitals, has no place in contemporary europe.",Q180,4,0.39368003606796265
the situation prevailing in lebanon remains a matter of grave concern.,Q69,4,0.3933676481246948
should united nations members be allowed without penalty to turn the iraq iran war into a gigantic arms bazaar as well as a channel house?,Q65,4,0.39179733395576477
it is to be hoped that none of this will happen.,Q65,4,0.3915625512599945
"the constitution of nepal not only consolidates democratic polity under a federal republican order, but also embodies the extensive rights and freedoms of the people.",Q70,1,0.3910432755947113
"132. since i am speaking of peace, i cannot fail to mention the dramatic question of disarmament.",Q171,6,0.3908337950706482
"first, sir, on my own behalf and on behalf of my entire delegation, i wish to offer you our heartiest congratulations on your richly deserved unanimous election to preside over the forty first session of this assembly.",Q154,2,0.38978904485702515
the specific characteristic of belarus' approach to the reforms is that the dynamics of the establishment of the new market structures should and does fully match the fading away of the old economic structures.,Q33_3,3,0.3891744315624237
"if their proper utilization in the development endeavor can be ensured, corrosive poverty can be eradicated, wide spread illiteracy progressively reduced and rampant disease substantially controlled.",Q33_3,2,0.38904517889022827
the heydar aliyev foundation has also conducted various humanitarian and social programmes.,Q171,5,0.3889615535736084
36. i extend a warm welcome to brunei darussalam on its admission to the united nations as its 159th member.,Q171,6,0.3881959915161133
"those regimes would have crumbled long ago if the rich great powers and their supporters had not given their political and material support, and carried out manoeuvres, to oppose the resolute struggle of the peoples.",Q45,3,0.3871960937976837
"we have never been able understand this argument about which comes first, the chicken or the egg.",Q184,1,0.38705652952194214
"yes, in the total balkan approach there is room for both the albanian and the serbian people.",Q254,4,0.38630130887031555
"at least, in those days, countries that wanted arms had to pay for them.",Q152,2,0.3860583007335663
"106. it gives me great pleasure to extend to you at the outset of my statement, sir, my warmest congratulations on the well deserved confidence shown in electing you president of the thirty eighth session.",Q171,1,0.3851991295814514
yet i think we can conclude that the fourth session meant a significant step forward.,Q27,3,0.3843684196472168
"this figure, only 5 per cent of that of the former british colonial empire, may seem small from the colonialists' point of view, but it looms large in the eyes of the subjugated peoples.",Q33_3,3,0.3825322985649109
you all know the consequences alarming balance of payments deficits on the one hand vast surpluses on the other.,Q180,2,0.38245639204978943
ghana the impact of technological innovation in the industrialised countries will doubtless widen this gap.,Q152,1,0.381733775138855
and israelis should be able to fulfil their own aspirations to live in peace and security with their neighbours.,Q254,4,0.38072264194488525
"90. relying on the support of the imperialist and warlike zionist circles in the united states of america and in other western countries, israel is continuing to exacerbate the situation in the middle east.",Q171,6,0.37863844633102417
"two years ago, foreign minister anna lindh was accompanied to the general assembly by her then 11 year old son david.",Q30,2,0.37751713395118713
those problems are not solely ukrainian they have a global dimension as well.,Q33_3,3,0.376309871673584
and about that point we learn very little in the secretary general's report.,Q69,4,0.37606364488601685
"i asked a member of our delegation, a deputy in our national assembly and a professed christian, what the bible would say about such an unjust economic order.",Q33_3,3,0.3759164810180664
that plan is based on the arias plan formulated by president oscar arias of costa rica.,Q152,1,0.3726964592933655
"however, the general assembly adopted a resolution on aggression against ukraine resolution es 11 1 by an overwhelming majority.",Q45,1,0.37120649218559265
my delegation regrets the failure of the outcome document to address non proliferation and disarmament in the area of weapons of mass destruction.,Q69,4,0.3689367473125458
"i am convinced that the real conflict in the middle east today is not between jew and moslem , arab and israeli palestinian and zionist.",Q171,2,0.36632540822029114
through it we expect the organization to broker a negotiated settlement without any arbitration.,Q70,2,0.3661395311355591
the plan of the five western countries endorsed by the security council in its resolution 435 1978 is an excellent basis for the free expression of the will of the inhabitants of the territory and its accession to independence.,Q152,3,0.3637632727622986
that state flourished at certain periods and at others merely smouldered.,Q33_3,3,0.36121702194213867
"29. ever since the creation of the state of israel, the situation in the middle fast has been continually exploding in a series of crises, in many cases reaching a point where it threatened international peace and security.",Q154,1,0.3571099638938904
they are two of the greatest and most powerful states in the world.,Q65,1,0.3557615876197815
this would distribute the burden of the surcharge to a larger number of countries.,Q180,1,0.355739027261734
"we undertook an unprecedented landmark measure free public transport at the national level for all buses, trams and trains, starting next year.",Q154,2,0.3551809787750244
"as i mentioned, my wife, my son, our ministers and some turkish non governmental organizations visited the area.",Q171,6,0.35477280616760254
salvador allende has given his life for the sake of the poor.,Q27,1,0.35472503304481506
"the problems of that area should be settled by peaceful means, account being taken of the real wishes of the inhabitants and their right of self determination.",Q154,1,0.3537563383579254
"while aid from the developed countries is going down quantitatively as a percentage of their gross national product, debt servicing is claiming an increasing share of our foreign currency earnings.",Q33_3,3,0.3534652590751648
the ideal and objective of these organizations is that peace must be banished from the life and prospect of the middle east.,Q171,2,0.35304388403892517
i think it not inappropriate to repeat the tribute which my delegation addressed to him on the occasion of a debate at this session.,Q171,1,0.35116732120513916
both sides have been able to undertake substantial reductions of their arms stockpiles.,Q65,3,0.35089150071144104
"today, many of our people continue to suffer from the long term health effects, while others remain displaced from their homes because of ongoing contamination.",Q152,4,0.34952300786972046
"we must ever be vigilant of these two, often unruly companions.",Q8,2,0.34896060824394226
terrorism constitutes a threat to the entity of the state in favour of extremist ideologies that utilize religion as a veil from behind which to conduct monstrous acts and menace the destinies of peoples.,Q152,2,0.34877318143844604
ethiopia is indeed honoured to have been elected as a non permanent member of the security council for the 2017 2018 term.,Q171,6,0.3482613265514374
those people may not have realized what was going on and ascribed their fate to unfriendly gods.,Q184,2,0.3460357189178467
"sharp political rivalry gave rise to an armaments race, which drained the resources of the nations.",Q152,2,0.34339502453804016
"today, it is an accomplished fact algeria has expressed itself in favour of national independence algeria is algerian, thanks to general de gaulle.",Q254,2,0.34059733152389526
icelandic fisheries have developed experience and technology which could benefit others.,Q152,4,0.3399735689163208
"4. leaving his place of birth, the home of his ancestors, the kith and kin to whom he was deeply attached, was undoubtedly a great ordeal for the prophet.",Q173,1,0.33941927552223206
"after all, it is easy to walk up to this podium and point fingers and stoke divisions.",Q29,2,0.33837592601776123
"under chapter vii of the charter, the united nations must impose total mandatory sanctions in a manner that would seal off all possibilities of approach to the territory.",Q45,1,0.3337990641593933
3. the very dimension of the tragedy makes it impossible for us to give exact information on human and material losses.,Q33_3,3,0.3331194519996643
"as a country with 239 miles of a low lying coastline, suriname is among the top 10 of most vulnerable countries with respect to the disastrous effects of sea level rise as a result of global warming.",Q152,4,0.32988283038139343
"mutually assured destruction mad is indeed madness, as the acronym itself suggests.",Q152,2,0.3298014998435974
"133. accordingly, i would like now, mr. president, to examine if i may two inter connected matters which have been submitted for the assembly's consideration.",Q154,2,0.32863789796829224
"if this latent menace became reality, it would imply the total destruction of the world that we live in.",Q11,1,0.32849013805389404
"against its will, ukraine has been made one of the united nations debtors.",Q45,1,0.3265109658241272
"turkey is engaged in an intense fight against the bloody terrorist organizations of the region, such as da'esh and the kurdish workers' party, which are nourished by the instability in syria and iraq.",Q152,2,0.32295840978622437
"114. but the algerian cause, the cause of a gallant people, calls for more and more.",Q254,1,0.32241010665893555
38. the ruling circles of west germany have embarked upon the same course as that taken by german nazism.,Q154,1,0.31887683272361755
"however, the 33 billion in sdrs allocated to africa within the framework are entirely insufficient to meet the immense needs of its economic recovery.",Q180,4,0.31875118613243103
"150. unfortunately, this year once again we have not come any closer to a solution of the situation in the middle east.",Q171,6,0.31662464141845703
"the advocates of this ideology in the west attribute to islam, the religion of humanity, compassion and justice, such labels as terrorism.",Q171,2,0.31614792346954346
"it almost seemed that the united states was not as much concerned with the lives of the hostages as with the fall of stanleyville, which became a top military priority in its intervention.",Q185,6,0.31556347012519836
"on 4 september the candidate representing the unitad popular won 36.2 per cent of the popular vote in a free, democratic election, precisely in keeping with the historic traditions of chile.",Q154,2,0.3147228956222534
"a few weeks after the liberation of khorramshahr the security council's second resolution, dated 12 july 1982, was adopted.",Q171,6,0.3117719292640686
in its resolution 478 1980 the security council reacted by calling upon all countries having their diplomatic missions in jerusalem to shift them.,Q45,1,0.3105688989162445
the elections were held in a peaceful environment and resulted in a new government led by his excellency mr. taur matan ruak.,Q69,1,0.3098398745059967
"174. needless to say, the united states refuses to carry out the boycott imposed on the regime of south africa, despite all international resolutions.",Q45,1,0.3077756464481354
the problems associated with the many components of the drug phenomenon are among the biggest challenges faced by our societies today.,Q181,5,0.3069676160812378
the task now is to implement this resolution in a suitable manner.,Q171,7,0.30567294359207153
